# z-xml-fixtures-v3
# id	path	classification	recommendation	feature_checks	description
core-declaration	valid/core/declaration.xml	well-formed	XML1.0-5e	document,xml_declaration	XML declaration with UTF-8 and standalone
core-mixed	valid/core/mixed_content.xml	well-formed	XML1.0-5e	document	Mixed text and element content
core-cdata	valid/core/cdata.xml	well-formed	XML1.0-5e	document,cdata	CDATA content containing markup-like bytes
core-predefined	valid/core/predefined_entities.xml	well-formed	XML1.0-5e	document,predefined_entities	Five predefined entities in text and attribute
core-numeric	valid/core/numeric_references.xml	well-formed	XML1.0-5e	document,numeric_references	Decimal hexadecimal and non-ASCII references
core-unicode-text	valid/core/unicode_text.xml	well-formed	XML1.0-5e	document,utf8	Valid UTF-8 text across code point widths
core-name-characters	valid/core/name_characters.xml	well-formed	XML1.0-5e	document,element_matching,unicode_names,utf8,attributes	Legal punctuation and non-ASCII element and attribute names
core-comments	valid/core/comment_edges.xml	well-formed	XML1.0-5e	document,comments	Legal comments with isolated hyphens
core-pi	valid/core/processing_instruction.xml	well-formed	XML1.0-5e	document,pi	Processing instructions in all legal regions
core-combined-content	valid/core/combined_content.xml	well-formed	XML1.0-5e	document,attributes,element_matching,cdata,predefined_entities,numeric_references,utf8	Nested elements references CDATA attributes and Unicode
core-many-attributes	valid/core/many_attributes.xml	well-formed	XML1.0-5e	document,attributes	Many source-ordered attributes using both quote styles
core-nested-elements	valid/core/nested_elements.xml	well-formed	XML1.0-5e	document,element_matching	Eight nested elements with a text leaf
encoding-utf8-bom	valid/encoding/utf8-bom.xml	well-formed	XML1.0-5e	document,utf8	UTF-8 byte order mark and multibyte text
encoding-utf8-boundaries	valid/encoding/utf8-codepoint-boundaries.xml	well-formed	XML1.0-5e	document,utf8	Lowest legal two three and four byte UTF-8 sequences plus U+10FFFF
encoding-utf16le	valid/encoding/utf16le-bom.xml	well-formed	XML1.0-5e	document,utf16	UTF-16 little-endian document with required byte order mark
encoding-utf16be	valid/encoding/utf16be-bom.xml	well-formed	XML1.0-5e	document,utf16	UTF-16 big-endian document with required byte order mark
encoding-utf16le-explicit	valid/encoding/utf16le-explicit.xml	well-formed	XML1.0-5e	document,utf16	UTF-16 little-endian document with explicit endian declaration
